Program Version:,EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2023.05.24 12:43
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ6A+hp+slab+IECC_2021
Environment:,ANNUAL ** Rochester International Arpt MN USA TMY3 WMO#=726440

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,107437.80,45.20,90.39
,Net Site Energy,107437.80,45.20,90.39
,Total Source Energy,340255.51,143.14,286.28
,Net Source Energy,340255.51,143.14,286.28


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,2377.10
,Net Conditioned Building Area,1188.55
,Unconditioned Building Area,1188.55


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,68381.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,3974.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,1771.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,721.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,23052.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,5007.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,4527.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,107437.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,,DX Cooling Coil Type,Standard Rated Net Cooling Capacity [ton],Standard Rated Net COP2 [Btuh/Btuh],EER2 [Btu/W-h],SEER2 User [Btu/W-h],SEER2 Standard [Btu/W-h],IEER2 [Btu/W-h]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,1.7,3.25,11.10,11.61,11.30,
ANSI/AHRI ratings account for supply air fan heat and electric power. SEER2 User is calculated using user-input PLF curve and cooling coefficient of degradation whereas SEER2 Standard is calculated using AHRI Std 210/240-2023 default PLF curve and cooling coefficient of degradation. IEER Calculation was removed from the 2023 Version of the Standard.


DX Cooling Coil ASHRAE 127 Standard Ratings Report

,,DX Cooling Coil Type,Rated Net Cooling Capacity Test A [ton],Rated Electric Power Test A [W],Rated Net Cooling Capacity Test B [ton],Rated Electric Power Test B [W],Rated Net Cooling Capacity Test C [ton],Rated Electric Power Test C [W],Rated Net Cooling Capacity Test D [ton],Rated Electric Power Test D [W]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,,,,,,,,


Water-to-Air Heat Pumps at Rated Temperatures Report

,,Coil Type,Rated Total Capacity [Btu/h],Rated Sensible Capacity [Btu/h],Rated Power[Btu/h],Rated COP [Btuh/Btuh],Rated Air Dry-bulb Temperature [F],Rated Air Wet-bulb Temperature [F],Rated Water Temperature [F],Design Day used for Sizing
,None,,,,,,,,,


DX Heating Coils

,,DX Heating Coil Type,High Temperature Heating (net) Rating Capacity [Btu/h],Low Temperature Heating (net) Rating Capacity [Btu/h],HSPF [Btu/W-h],Region Number
,MAIN DX HEATING COIL_UNIT1,Coil:Heating:DX:SingleSpeed,22236.9,12309.3,8.03,4
ANSI/AHRI ratings account for supply air fan heat and electric power.


DX Heating Coils [ HSPF2 ]

,,DX Heating Coil Type,High Temperature Heating (net) Rating Capacity [Btu/h],Low Temperature Heating (net) Rating Capacity [Btu/h],HSPF2 [Btu/W-h],Region Number
,MAIN DX HEATING COIL_UNIT1,Coil:Heating:DX:SingleSpeed,22409.6,12482.0,7.10,4
ANSI/AHRI 2023 (HSPF2) ratings account for supply air fan heat and electric power.


Heating Coils

,,Type,Design Coil Load [Btu/h],Nominal Total Capacity [Btu/h],Nominal Efficiency [Btuh/Btuh]
,MAIN DX HEATING COIL_UNIT1,Coil:Heating:DX:SingleSpeed,,21381.98,3.69
,SUPP HEATING COIL_UNIT1,Coil:Heating:Electric,,33974.71,1.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
Nominal values are gross at rated conditions, i.e., the supply air fan heat and electric power NOT accounted for.


Fans

,,Type,Total Efficiency [Btuh/Btuh],Delta Pressure [psi],Max Air Flow Rate [ft3/min],Rated Electricity Rate [W],Rated Power Per Max Air Flow Rate [W-min/ft3],Motor Heat In Air Fraction,Fan Energy Index,End Use Subcategory,Design Day Name for Fan Sizing Peak,Date/Time for Fan Sizing Peak
,OASUPPLYFAN_UNIT1,Fan:OnOff,0.60,0.03,59.99,10.71,0.18,0.00,13.70,Ventilation,,
,OAEXHAUSTFAN_UNIT1,Fan:OnOff,0.60,0.03,59.99,10.71,0.18,0.00,13.70,Ventilation,,
,SUPPLY FAN_UNIT1,Fan:OnOff,0.50,0.06,665.63,251.07,0.38,1.00,1.90,General,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00
,HEAT PUMP WATER HEATER FAN_UNIT1,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,


Pumps

,,Type,Control,Head [psi],Water Flow [gal/min],Electricity Rate [W],Power Per Water Flow Rate [W-min/gal],Motor Efficiency [Btuh/Btuh],End Use Subcategory
,MAINS PRESSURE_UNIT1,Pump:VariableSpeed,Intermittent,0.00,7.827838,0.00,0.00,1.00,General


Service Water Heating

,,Type,Storage Volume [ft3],Input [Btu/h],Thermal Efficiency [Btuh/Btuh],Recovery Efficiency [Btuh/Btuh],Energy Factor
,WATER HEATER_UNIT1,WaterHeater:HeatPump:WrappedCondenser,6.95,4427.63,1.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,HVAC Sizing Summary
FOR:,Entire Facility
Zone Sensible Cooling

,,Calculated Design Load [Btu/h],User Design Load [Btu/h],User Design Load per Area [Btu/h-ft2],Calculated Design Air Flow [ft3/min],User Design Air Flow [ft3/min],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [F],Indoor Temperature at Peak Load [F],Indoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Outdoor Temperature at Peak Load [F],Outdoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Minimum Outdoor Air Flow Rate [ft3/min],Heat Gain Rate from DOAS [Btu/h]
,LIVING_UNIT1,14921.83,14921.83,12.55,665.629,665.629,ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,7/21 17:40:00,75.00,74.99,0.00892,84.22,0.01536,59.993,0.00
The Design Load is the zone sensible load only. It does not include any system effects or ventilation loads.


Zone Sensible Heating

,,Calculated Design Load [Btu/h],User Design Load [Btu/h],User Design Load per Area [Btu/h-ft2],Calculated Design Air Flow [ft3/min],User Design Air Flow [ft3/min],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [F],Indoor Temperature at Peak Load [F],Indoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Outdoor Temperature at Peak Load [F],Outdoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Minimum Outdoor Air Flow Rate [ft3/min],Heat Gain Rate from DOAS [Btu/h]
,LIVING_UNIT1,28998.76,28998.76,24.40,553.267,553.267,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00,72.00,71.98,0.00662,-15.2,0.00036,59.993,0.00
The Design Load is the zone sensible load only. It does not include any system effects or ventilation loads.


System Design Air Flow Rates

,,Calculated cooling [ft3/min],User cooling [ft3/min],Calculated heating [ft3/min],User heating [ft3/min],Adjusted cooling [ft3/min],Adjusted heating [ft3/min],Adjusted main [ft3/min],Calculated Heating Air Flow Ratio [],User Heating Air Flow Ratio []
,CENTRAL SYSTEM_UNIT1,665.63,665.63,553.27,553.27,665.6286,665.6286,665.6286,1.0000,1.0000


Plant Loop Coincident Design Fluid Flow Rate Adjustments

,,Previous Design Volume Flow Rate [ft3/min],Algorithm Volume Flow Rate [ft3/min],Coincident Design Volume Flow Rate [ft3/min],Coincident Size Adjusted,Peak Sizing Period Name,Peak Day into Period {TIMESTAMP}[day],Peak Hour Of Day {TIMESTAMP}[hr],Peak Step Start Minute {TIMESTAMP}[min]
,None,,,,,,,,


Coil Sizing Summary

,,Coil Type,HVAC Type,HVAC Name,Coil Final Gross Total Capacity [Btu/h],Coil Final Gross Sensible Capacity [Btu/h],Coil Final Reference Air Volume Flow Rate [ft3/min],Coil Final Reference Plant Fluid Volume Flow Rate [ft3/min],Coil U-value Times Area Value [Btu/h-F],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Coil Total Capacity at Ideal Loads Peak [Btu/h],Coil Sensible Capacity at Ideal Loads Peak [Btu/h],Coil Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Coil Entering Air Drybulb at Ideal Loads Peak [F],Coil Entering Air Wetbulb at Ideal Loads Peak [F],Coil Entering Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Leaving Air Drybulb at Ideal Loads Peak [F],Coil Leaving Air Wetbulb at Ideal Loads Peak [F],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Drybulb at Ideal Loads Peak [F],Outdoor Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [F],Outdoor Air Flow Percentage at Ideal Loads Peak [%],Zone Air Drybulb at Ideal Loads Peak [F],Zone Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [Btu/h],Zone Latent Heat Gain at Ideal Loads Peak [Btu/h],Coil Total Capacity at Rating Conditions [Btu/h],Coil Sensible Capacity at Rating Conditions [Btu/h]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,21381.983,16616.312,665.628602,-999.,-999.00,ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,7/21 17:20:00,ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,7/21 17:40:00,21065.34,16859.87,665.628602,77.05,62.76,0.00950148,53.60,51.52,0.00800000,84.22,0.01536103,72.56,9.0130,74.99,0.00888460,45.9054,14898.64,0.00,21378.32,16213.82
,MAIN DX HEATING COIL_UNIT1,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,21381.983,21381.983,665.628602,-999.,-999.00,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00,21381.98,21381.98,665.628602,64.13,52.35,0.00605498,122.00,74.12,0.00800000,-15.2,0.00036134,-15.2,9.0130,71.98,0.00661898,37.9807,28998.76,0.00,21410.08,21410.08
,SUPP HEATING COIL_UNIT1,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,33974.712,33974.712,-999.,-999.,-999.00,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00,33974.71,33974.71,-999.,64.13,52.35,0.00605498,122.00,74.12,0.00800000,-15.2,0.00036134,-15.2,-999.000,71.98,0.00661898,37.9807,28998.76,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,2133.337,2092.803,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0


----------------------------------------------------------------------------------------------------
REPORT:,Coil Sizing Details
FOR:,Entire Facility
Coils

,,Coil Type,Coil Location,HVAC Type,HVAC Name,Zone Name(s),System Sizing Method Concurrence,System Sizing Method Capacity,System Sizing Method Air Flow,Autosized Coil Capacity?,Autosized Coil Airflow?,Autosized Coil Water Flow?,OA Pretreated prior to coil inlet?,Coil Final Gross Total Capacity [Btu/h],Coil Final Gross Sensible Capacity [Btu/h],Coil Final Reference Air Volume Flow Rate [ft3/min],Coil Final Reference Plant Fluid Volume Flow Rate [ft3/min],Coil U-value Times Area Value [Btu/h-F],Terminal Unit Reheat Coil Multiplier,DX Coil Capacity Increase Ratio from Too Low Flow/Capacity Ratio,DX Coil Capacity Decrease Ratio from Too High Flow/Capacity Ratio,Moist Air Heat Capacity [Btu/lbm-R],Dry Air Heat Capacity [Btu/lbm-R],Standard Air Density Adjusted for Elevation [lb/ft3],Supply Fan Name for Coil,Supply Fan Type for Coil,Supply Fan Maximum Air Volume Flow Rate [ft3/min],Supply Fan Maximum Air Mass Flow Rate [lb/s],Plant Name for Coil,Plant Fluid Specific Heat Capacity [Btu/lbm-R],Plant Fluid Density [lb/ft3],Plant Maximum Fluid Mass Flow Rate [lb/s],Plant Design Fluid Return Temperature [F],Plant Design Fluid Supply Temperature [F],Plant Design Fluid Temperature Difference [deltaF],Plant Design Capacity [Btu/h],Coil Capacity Percentage of Plant Design Capacity [%],Coil Fluid Flow Rate Percentage of Plant Design Flow Rate [%],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Total Ideal Loads Peak,Date/Time at Total Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Peak Load Type to Size On,Coil Total Capacity at Ideal Loads Peak [Btu/h],Coil Sensible Capacity at Ideal Loads Peak [Btu/h],Coil Off-Rating Capacity Modifier at Ideal Loads Peak [],Coil Air Mass Flow Rate at Ideal Loads Peak [lb/s],Coil Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Coil Entering Air Drybulb at Ideal Loads Peak [F],Coil Entering Air Wetbulb at Ideal Loads Peak [F],Coil Entering Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Entering Air Enthalpy at Ideal Loads Peak [Btu/lbm-R],Coil Leaving Air Drybulb at Ideal Loads Peak [F],Coil Leaving Air Wetbulb at Ideal Loads Peak [F],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Leaving Air Enthalpy at Ideal Loads Peak [Btu/lbm-R],Coil Plant Fluid Mass Flow Rate at Ideal Loads Peak [lb/s],Coil Entering Plant Fluid Temperature at Ideal Loads Peak [F],Coil Leaving Plant Fluid Temperature at Ideal Loads Peak [F],Coil Plant Fluid Temperature Difference at Ideal Loads Peak [deltaF],Supply Fan Air Heat Gain at Ideal Loads Peak [Btu/h],Coil and Fan Net Total Capacity at Ideal Loads Peak [Btu/h],Outdoor Air Drybulb at Ideal Loads Peak [F],Outdoor Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [F],Outdoor Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Outdoor Air Flow Percentage at Ideal Loads Peak [%],System Return Air Drybulb at Ideal Loads Peak [F],System Return Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Drybulb at Ideal Loads Peak [F],Zone Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [Btu/h],Zone Latent Heat Gain at Ideal Loads Peak [Btu/h],Coil Total Capacity at Rating Conditions [Btu/h],Coil Sensible Capacity at Rating Conditions [Btu/h],Coil Air Mass Flow Rate at Rating Conditions [lb/s],Coil Entering Air Drybulb at Rating Conditions [F],Coil Entering Air Wetbulb at Rating Conditions [F],Coil Entering Air Humidity Ratio at Rating Conditions [lbWater/lbDryAir],Coil Entering Air Enthalpy at Rating Conditions [Btu/lbm-R],Coil Leaving Air Drybulb at Rating Conditions [F],Coil Leaving Air Wetbulb at Rating Conditions [F],Coil Leaving Air Humidity Ratio at Rating Conditions [lbWater/lbDryAir],Coil Leaving Air Enthalpy at Rating Conditions [Btu/lbm-R]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,LIVING_UNIT1,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,21381.983,16616.312,665.628602,-999.,-999.00,-999.0000,1.00000,1.00000,0.2442,0.2400,0.0717,SUPPLY FAN_UNIT1,Fan:OnOff,665.628602,0.79552886,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,7/21 17:20:00,ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,7/21 17:40:00,ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,7/21 17:40:00,Sensible,21065.34,16859.87,0.9852,0.79552886,665.628602,77.05,62.76,0.00950148,11.8,53.60,51.52,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,856.652,20208.68,84.22,0.01536103,72.56,59.99331119,9.0130,74.99,0.00892104,74.99,0.00888460,45.9054,14898.64,0.00,21378.32,16213.82,0.76411149,80.00,67.00,0.01118466,13.2,55.86,55.83,0.00947242,8.9
,MAIN DX HEATING COIL_UNIT1,Coil:Heating:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,LIVING_UNIT1,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,unknown,No,21381.983,21381.983,665.628602,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0717,SUPPLY FAN_UNIT1,Fan:OnOff,665.628602,0.79552886,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00,unknown,unknown,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00,Sensible,21381.98,21381.98,1.0000,0.79552886,665.628602,64.13,52.35,0.00605498,7.9,122.00,74.12,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,21381.98,-15.2,0.00036134,-15.2,59.99331119,9.0130,71.98,0.00661898,71.98,0.00661898,37.9807,28998.76,0.00,21410.08,21410.08,0.78147162,70.00,60.00,0.00875166,10.4,101.21,70.27,0.00875166,14.6
,SUPP HEATING COIL_UNIT1,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,LIVING_UNIT1,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,33974.712,33974.712,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0717,SUPPLY FAN_UNIT1,Fan:OnOff,665.628602,0.79552886,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00,unknown,unknown,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,1/21 14:00:00,Sensible,33974.71,33974.71,1.0000,-0.252957E+04,-999.,64.13,52.35,0.00605498,7.9,122.00,74.12,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,33974.71,-15.2,0.00036134,-15.2,59.99331119,-999.000,71.98,0.00661898,71.98,0.00661898,37.9807,28998.76,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,unknown,N/A,N/A,N/A,N/A,No,No,unknown,No,2133.337,2092.803,400.423678,-999.,-999.00,-999.0000,1.00000,1.00000,0.2400,0.2400,0.0717,HEAT PUMP WATER HEATER FAN_UNIT1,Fan:OnOff,160.010573,0.19123732,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,unknown,unknown,unknown,unknown,unknown,unknown,Sensible,3319.56,-999.0,1.0000,-999.,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.,-999.,-999.0,-999.0,-999.0,0.000,3319.56,-999.0,-999.,-999.0,-999.,-999.000,-999.0,-999.,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.


----------------------------------------------------------------------------------------------------
REPORT:,System Summary
FOR:,Entire Facility
Economizer

,,High Limit Shutoff Control,Minimum Outdoor Air [ft3/min],Maximum Outdoor Air [ft3/min],Return Air Temp Limit,Return Air Enthalpy Limit,Outdoor Air Temperature Limit [F],Outdoor Air Enthalpy Limit [F]
,None,,,,,,,


Demand Controlled Ventilation using Controller:MechanicalVentilation

,,Controller:MechanicalVentilation Name,Outdoor Air Per Person [ft3/min-person],Outdoor Air Per Area [ft3/min-ft2],Outdoor Air Per Zone [ft3/min],Outdoor Air ACH [ACH],Outdoor Air Method,Outdoor Air Schedule Name,Air Distribution Effectiveness in Cooling Mode,Air Distribution Effectiveness in Heating Mode,Air Distribution Effectiveness Schedule Name
,None,,,,,,,,,,


Time Not Comfortable Based on Simple ASHRAE 55-2004

,,Winter Clothes [hr],Summer Clothes [hr],Summer or Winter Clothes [hr]
,LIVING_UNIT1,4478.33,6576.50,2694.33
,ATTIC_UNIT1,0.00,0.00,0.00
,Facility,4478.33,6576.50,2694.33
Aggregated over the RunPeriods for Weather


Time Setpoint Not Met

,,During Heating [hr],During Cooling [hr],During Occupied Heating [hr],During Occupied Cooling [hr]
,LIVING_UNIT1,538.00,33.00,538.00,33.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00
,Facility,538.00,33.00,538.00,33.00
Aggregated over the RunPeriods for Weather


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Summary
FOR:,Entire Facility
Average Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [ft3],Mechanical Ventilation [ACH],Infiltration [ACH],AFN Infiltration [ACH],Simple Ventilation [ACH]
,LIVING_UNIT1,2.07,3.00,10105.74,0.362,0.000,0.532,0.000
Values shown for a single zone without multipliers


Minimum Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [ft3],Mechanical Ventilation [ACH],Infiltration [ACH],AFN Infiltration [ACH],Simple Ventilation [ACH]
,LIVING_UNIT1,2.07,3.00,10105.74,0.334,0.000,0.000,0.000
Values shown for a single zone without multipliers


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Details
FOR:,Entire Facility
Mechanical Ventilation Parameters by Zone

,,AirLoop Name,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [ft3],Zone Area [ft2],Design Zone Outdoor Airflow - Voz [ft3/min],Minimum Dynamic Target Ventilation - Voz-dyn-min [ft3/min]
,LIVING_UNIT1,CENTRAL SYSTEM_UNIT1,2.07,3.00,10105.74,1188.55,0.0000,0.000
,Total Facility,,2.07,3.00,10105.74,1188.55,0.0000,0.000


Total Outdoor Air by Zone

,,Mechanical Ventilation [ft3],Natural Ventilation [ft3],Total Ventilation [ft3],Infiltration [ft3],Total Ventilation and Infiltration [ft3],Dynamic Target Ventilation - Voz-dyn [ft3],Time Below Voz-dyn [hr],Time At Voz-dyn [hr],Time Above Voz-dyn [hr],Time Above Zero When Unoccupied [hr]
,LIVING_UNIT1,31713442.25,0.00,31713442.25,46670538.63,78383980.88,31713442.25,0.00,8808.00,0.00,0.00
,Total Facility,31713442.25,0.00,31713442.25,46670538.63,78383980.88,31713442.25,0.00,8808.00,0.00,0.00


Average Outdoor Air During Occupancy by Zone - Flow Rates

,,Mechanical Ventilation [ft3/min],Natural Ventilation [ft3/min],Total Ventilation [ft3/min],Infiltration [ft3/min],Total Ventilation and Infiltration [ft3/min],Dynamic Target Ventilation - Voz-dyn [ft3/min],Time Below Voz-dyn [hr],Time At Voz-dyn [hr],Time Above Voz-dyn [hr]
,LIVING_UNIT1,59.9933,0.0000,59.9933,88.2881,148.2814,59.9933,0.00,8808.00,0.00
,Total Facility,59.9933,0.0000,59.9933,88.2881,148.2814,59.9933,0.00,8808.00,0.00


Total Outdoor Air by AirLoop

,,Mechanical Ventilation [ft3],Natural Ventilation [ft3],Total Ventilation [ft3],Sum Zone Dynamic Target Ventilation - Voz-sum-dyn [ft3],Time Below Voz-sum-dyn [hr],Time At Voz-sum-dyn [hr],Time Above Voz-sum-dyn [hr],Time Above Zero When Unoccupied [hr]
,CENTRAL SYSTEM_UNIT1,0.00,0.00,0.00,31713442.25,8808.00,0.00,0.00,0.00


Average Outdoor Air During Occupancy by AirLoop

,,Mechanical Ventilation [ft3/min],Natural Ventilation [ft3/min],Total Ventilation [ft3/min],Sum Zone Dynamic Target Ventilation - Voz-sum-dyn [ft3/min],Time Below Voz-sum-dyn [hr],Time At Voz-sum-dyn [hr],Time Above Voz-sum-dyn [hr]
,CENTRAL SYSTEM_UNIT1,0.0000,0.0000,0.0000,59.9933,8808.00,0.00,0.00


